task,model_name,capacity_name,dataset_size,resolution,n_runs,n_success,n_diverged,n_nan,n_data_seeds,n_train_seeds,n_seed_pairs,convergence_rate,divergence_rate,data_seeds,train_seeds
burgers_operator,deeponet,large,1000,256,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,1000,384,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,1000,512,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,16,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,32,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,48,6,0,6,6,2,3,6,0.0,1.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,64,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,96,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,128,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,192,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,256,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,384,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,2000,512,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,3000,32,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,3000,64,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,3000,128,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,3000,256,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,5000,16,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,5000,32,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,5000,48,6,0,6,6,2,3,6,0.0,1.0,"11,22","101,202,303"
burgers_operator,deeponet,large,5000,64,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,5000,96,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,5000,128,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,5000,192,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
