task,model_name,capacity_name,dataset_size,resolution,parameter_count,n_runs,n_success,convergence_rate,divergence_rate,instability_rate,seed_cv_test_rel_l2,median_test_rel_l2,s_n,s_r,s_c,is_r48,regime
burgers_operator,deeponet,large,200,384,362241,6,6,1.0,0.0,0.0,0.0399219718183858,0.3466124981641769,,0.061214747841027886,-0.12952881656311413,False,ambiguous
burgers_operator,deeponet,large,200,512,395009,6,6,1.0,0.0,0.0,0.0464245441901796,0.3502299636602402,,0.03609033300565209,-0.18372988233422335,False,ambiguous
burgers_operator,deeponet,large,300,32,272129,6,6,1.0,0.0,0.0,0.0222987061760544,0.5128956139087677,-0.04155416903473633,-0.3407313254656769,-0.03066348295009746,False,resolution_sensitive
burgers_operator,deeponet,large,300,64,280321,6,6,1.0,0.0,0.0,0.0209039538169045,0.4050033688545227,-0.043328750858436106,-0.3407313254656769,-0.10488133461070558,False,resolution_sensitive
burgers_operator,deeponet,large,300,128,296705,6,6,1.0,0.0,0.0,0.0373270864111872,0.3490389287471771,-0.08848359764184312,,-0.1350424400583933,False,ambiguous
burgers_operator,deeponet,large,300,256,329473,6,6,1.0,0.0,0.0,0.0283964844552159,0.3299502432346344,-0.03697417424173139,,-0.17486618826699246,False,ambiguous
burgers_operator,deeponet,large,500,16,268033,6,6,1.0,0.0,0.0,0.079980864011829,0.2917852401733398,,0.7920876360054528,-0.4509801287875921,False,ambiguous
burgers_operator,deeponet,large,500,32,272129,6,6,1.0,0.0,0.0,0.0190958849064756,0.5052489936351776,-0.013887463981460025,0.23210578226521397,-0.050404887536452524,False,resolution_sensitive
burgers_operator,deeponet,large,500,48,276225,6,0,0.0,1.0,1.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,large,500,64,280321,6,6,1.0,0.0,0.0,0.0255845219699776,0.4025361835956573,-0.02437799767222763,-0.33479525221402473,-0.06113452010886288,False,resolution_sensitive
burgers_operator,deeponet,large,500,96,288513,6,6,1.0,0.0,0.0,0.0584712019960013,0.3497578948736191,,-0.31425081029251073,-0.1348634336835592,False,ambiguous
burgers_operator,deeponet,large,500,128,296705,6,6,1.0,0.0,0.0,0.0611688878116864,0.3237471878528595,-0.0913766137609978,-0.14456255837296766,-0.1861585331267561,False,mixed
burgers_operator,deeponet,large,500,192,313089,6,6,1.0,0.0,0.0,0.0429970372689091,0.3164097517728805,,0.0033429089286054104,-0.16218899888253185,False,ambiguous
burgers_operator,deeponet,large,500,256,329473,6,6,1.0,0.0,0.0,0.0342101071865646,0.3244982212781906,-0.09182860813268218,-0.03573938180096482,-0.12854471481578067,False,mixed
burgers_operator,deeponet,large,500,384,362241,6,6,1.0,0.0,0.0,0.0247597757031845,0.3086677342653274,,0.013942646117788763,-0.22195381642176618,False,ambiguous
burgers_operator,deeponet,large,500,512,395009,6,6,1.0,0.0,0.0,0.0293158235255421,0.3276494741439819,,0.20744760119532282,-0.18183326130314165,False,ambiguous
burgers_operator,deeponet,large,750,32,272129,6,6,1.0,0.0,0.0,0.0240657994044588,0.5064103901386261,0.026435465590631042,-0.35459905668186503,-0.0745746381381803,False,resolution_sensitive
burgers_operator,deeponet,large,750,64,280321,6,6,1.0,0.0,0.0,0.0444216328128372,0.3960569649934768,-0.05842585972121912,-0.35459905668186503,-0.14339073730869695,False,resolution_sensitive
burgers_operator,deeponet,large,750,128,296705,6,6,1.0,0.0,0.0,0.03016195681283,0.3210047483444214,-0.03298180869576367,,-0.24067456125880385,False,ambiguous
burgers_operator,deeponet,large,750,256,329473,6,6,1.0,0.0,0.0,0.0587025853347611,0.3033235818147659,-0.052981099215813406,,-0.2690907011057337,False,ambiguous
burgers_operator,deeponet,large,1000,16,268033,6,6,1.0,0.0,0.0,0.116979409968359,0.2192042544484138,-0.04631196842922526,1.2311542093444328,-0.4566128670126465,False,mixed
burgers_operator,deeponet,large,1000,32,272129,6,6,1.0,0.0,0.0,0.0212610380281624,0.5145923495292664,-0.044093673588719975,0.40920840627877886,-0.3434635598609358,False,mixed
burgers_operator,deeponet,large,1000,48,276225,6,0,0.0,1.0,1.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,large,1000,64,280321,6,6,1.0,0.0,0.0,0.0325708091259208,0.3865600675344467,-0.035347220999374415,-0.3442439646544011,-0.1171657106248057,False,resolution_sensitive
burgers_operator,deeponet,large,1000,96,288513,6,6,1.0,0.0,0.0,0.0724596240144149,0.3525471538305282,-0.007738166935649274,-0.28880675926705524,-0.14777979717306325,False,resolution_sensitive
burgers_operator,deeponet,large,1000,128,296705,6,6,1.0,0.0,0.0,0.0447707736204975,0.3164298832416534,-0.012054972822841603,-0.1348186236298686,-0.21803476578526917,False,mixed
burgers_operator,deeponet,large,1000,192,313089,6,6,1.0,0.0,0.0,0.051987237036976,0.3210944235324859,-0.04358016560381977,-0.016656381591444325,-0.13552707483775214,False,mixed
burgers_operator,deeponet,large,1000,256,329473,6,6,1.0,0.0,0.0,0.0268796343711237,0.3127976059913635,0.02636325813094768,-0.008315423013730542,-0.24860065230910086,False,capacity_limited
burgers_operator,deeponet,large,1000,384,362241,6,6,1.0,0.0,0.0,0.0450288000041285,0.3192490190267562,0.014233251990510627,-0.0026083699790512755,-0.23855217614083482,False,capacity_limited
burgers_operator,deeponet,large,1000,512,395009,6,6,1.0,0.0,0.0,0.0251370706373579,0.3122325837612152,0.011985812249843308,-0.07724864851906287,-0.27282864041203475,False,capacity_limited
burgers_operator,deeponet,large,2000,16,268033,6,6,1.0,0.0,0.0,0.1288403510004445,0.2122793197631835,-0.04631196842922526,1.1919489727307329,-0.5483839179098265,False,mixed
burgers_operator,deeponet,large,2000,32,272129,6,6,1.0,0.0,0.0,0.0222565929284736,0.4849758148193359,-0.03140886344465336,0.4248632372242284,-0.6270216772190315,False,mixed
