task,model_name,capacity_name,dataset_size,n_off_diagonal,mean_degradation,worst_degradation,worst_pair_r_train,worst_pair_r_eval,train_low_eval_high,train_high_eval_low,transfer_asymmetry
burgers_operator,deeponet,large,50,16,1.0001794158310644,1.2976194458325088,256,32,0.9061238861506438,1.1569386319650987,1.2767996182949721
burgers_operator,deeponet,large,100,16,1.0122597129234783,1.425308286271342,256,32,0.88432877310435,1.2254779459553589,1.3857718794486782
burgers_operator,deeponet,large,500,16,1.0309197185537946,1.5929505778812196,256,32,0.8563315350357857,1.321900024417143,1.5436778517819052
burgers_operator,deeponet,large,1000,16,1.0343423955145208,1.6217158837494734,256,32,0.8550696526810506,1.3331303002369712,1.5590897139864253
burgers_operator,deeponet,large,5000,16,1.0271111323925124,1.625713764310132,256,32,0.8497742719306005,1.3226725664956989,1.55649871993738
burgers_operator,deeponet,med-large,50,16,1.00293225160357,1.315651156428585,256,32,0.9065570263940259,1.1635576269528096,1.2834908263642766
burgers_operator,deeponet,med-large,100,16,1.0071237603468233,1.398850173748796,256,32,0.8831566337384477,1.2137356380274495,1.3743152592192438
burgers_operator,deeponet,med-large,500,16,1.0226254624440705,1.6065466563073147,256,32,0.8518495351752609,1.3072520078920866,1.5346043566521763
burgers_operator,deeponet,med-large,1000,16,1.0186032115853036,1.543655653305399,256,32,0.8526709242752718,1.2951570237686896,1.5189412314833053
burgers_operator,deeponet,med-large,5000,16,1.025653725696683,1.5509658171414913,256,32,0.8570369353346299,1.3066817096334378,1.524650403921325
burgers_operator,deeponet,medium,50,16,0.990246774795297,1.2747012194411755,256,32,0.8945073277315512,1.14981251990154,1.2854143104869098
burgers_operator,deeponet,medium,100,16,1.001551610766772,1.3669690704917712,256,32,0.8826473237359288,1.1997254224848437,1.3592353256188863
burgers_operator,deeponet,medium,500,16,1.0152975124786698,1.513595430240824,256,32,0.8547215553114121,1.282924107757433,1.5009848526518184
burgers_operator,deeponet,medium,1000,16,1.0158814029752596,1.5421867459050327,256,32,0.8617227222484052,1.2728125375200168,1.4770557914487816
burgers_operator,deeponet,medium,5000,16,1.0172703783432209,1.5363723762534516,256,32,0.852068002656581,1.2926076711542878,1.5170240721681725
burgers_operator,deeponet,small,50,16,0.9929881289628666,1.2422552946629026,256,32,0.9075084869193185,1.1354541990354465,1.2511774990556022
burgers_operator,deeponet,small,100,16,0.9946613147197205,1.3047278343326951,256,32,0.8933496108544638,1.1635141544951486,1.3024174862317117
burgers_operator,deeponet,small,500,16,1.0018177110113975,1.4350492961476555,256,32,0.860681569240152,1.2370446139634736,1.4372848892948777
burgers_operator,deeponet,small,1000,16,1.0151442122283183,1.5064398838027542,256,32,0.8594878622638854,1.2745714621690398,1.4829429455953305
burgers_operator,deeponet,small,5000,16,1.0232015430241543,1.4902752548612759,256,32,0.8727943509547664,1.2738801964731339,1.4595422106932887
burgers_operator,deeponet,small-med,50,16,0.9929482118453367,1.2727270588789552,256,32,0.9015220111801078,1.1453252129540512,1.2704351072413649
burgers_operator,deeponet,small-med,100,16,0.9922615349936788,1.3182625587274506,256,32,0.884423151884071,1.171992173509692,1.3251486813896922
burgers_operator,deeponet,small-med,500,16,1.0186662126491273,1.5127758368219697,256,32,0.863197350099945,1.2777809835644314,1.4802883528505781
burgers_operator,deeponet,small-med,1000,16,1.021193545659775,1.5191511330109566,256,32,0.8672768345011519,1.2777213975908128,1.4732566889391714
burgers_operator,deeponet,small-med,5000,16,1.036386303546017,1.563168765603644,256,32,0.867770740568768,1.317412241841432,1.5181570203415164
burgers_operator,deeponet,tiny,50,16,0.9923059422259152,1.2212293972620767,256,32,0.9154831722628207,1.120343892164406,1.2237733320594264
burgers_operator,deeponet,tiny,100,16,0.9993090971966545,1.265037807440428,256,32,0.9116709677351753,1.14537264629912,1.2563443246904304
burgers_operator,deeponet,tiny,500,16,1.0027560647805935,1.3953065677965937,128,32,0.873080173359466,1.218882550482473,1.396071732785338
