task,model_name,capacity_name,dataset_size,resolution,parameter_count,n_runs,n_success,n_failed,convergence_rate,divergence_rate,instability_rate,median_test_rel_l2,iqr_test_rel_l2,seed_cv_test_rel_l2,worst_test_rel_l2,best_test_rel_l2,median_best_epoch,median_runtime_seconds,n_data_seeds,n_train_seeds,data_seeds_observed,train_seeds_observed,is_r48
burgers_operator,deeponet,large,2000,384,362241,6,6,0,1.0,0.0,0.0,0.32241423428058624,0.02983845770359045,0.05901858472050876,0.3504230380058288,0.3036540746688843,1925.0,4.184920072555542,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,2000,512,395009,6,6,0,1.0,0.0,0.0,0.31483739614486694,0.0052779242396354675,0.028575784292219394,0.333482414484024,0.3066566288471222,2000.0,3.8971513509750366,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,3000,32,272129,6,6,0,1.0,0.0,0.0,0.4971386045217514,0.01992873102426529,0.024160760136734453,0.5119338631629944,0.4840967357158661,2100.0,4.277480483055115,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,3000,64,280321,6,6,0,1.0,0.0,0.0,0.3915308266878128,0.009495057165622711,0.020567854912134583,0.4040996134281158,0.3823060095310211,2200.0,4.392694354057312,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,3000,128,296705,6,6,0,1.0,0.0,0.0,0.32375840842723846,0.03239569067955017,0.061864653970660974,0.3432730734348297,0.2960602045059204,2050.0,4.232045650482178,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,3000,256,329473,6,6,0,1.0,0.0,0.0,0.3162572085857391,0.03903709352016449,0.07430428996023482,0.3483105301856994,0.2926275134086609,2050.0,3.6985257863998413,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,5000,16,268033,6,6,0,1.0,0.0,0.0,0.23100017011165613,0.028643012046813965,0.3122062366042487,0.4140558838844299,0.2024070173501968,2625.0,4.767021656036377,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,5000,32,272129,6,6,0,1.0,0.0,0.0,0.4905949831008911,0.02147601544857025,0.029109437932368927,0.5104655623435974,0.4755382239818573,2325.0,8.82695484161377,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,5000,48,276225,6,0,6,0.0,1.0,1.0,,,,,,,,2,3,11;22,101;202;303,True
burgers_operator,deeponet,large,5000,64,280321,6,6,0,1.0,0.0,0.0,0.3988568186759949,0.017511688172817286,0.040498996013904213,0.4274711906909942,0.3820298612117767,2025.0,6.072757720947266,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,5000,96,288513,6,6,0,1.0,0.0,0.0,0.3464132994413376,0.006428331136703491,0.015416266290288428,0.3543646931648254,0.3402790427207947,2300.0,4.387141942977905,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,5000,128,296705,6,6,0,1.0,0.0,0.0,0.3272589147090912,0.012246638536453303,0.027391985289260595,0.3405666053295135,0.317207396030426,1925.0,9.894542574882507,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,5000,192,313089,6,6,0,1.0,0.0,0.0,0.3462308198213577,0.02115565538406372,0.040086567705630856,0.3553970158100128,0.3228649497032165,1225.0,2.518976330757141,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,5000,256,329473,6,6,0,1.0,0.0,0.0,0.3111018240451813,0.01298164576292038,0.056238529930862015,0.3436887562274933,0.2910559177398681,2150.0,8.371242761611938,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,5000,384,362241,6,6,0,1.0,0.0,0.0,0.32210113108158106,0.02695435285568243,0.050032214756583794,0.3394048511981964,0.3017889559268951,1825.0,3.250758409500122,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,5000,512,395009,6,6,0,1.0,0.0,0.0,0.3329229801893234,0.013837248086929266,0.041702561181700896,0.359520673751831,0.3204242587089538,1500.0,2.88182270526886,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,50,16,151873,6,6,0,1.0,0.0,0.0,0.6349510550498962,0.05514039099216461,0.0888739685485396,0.6563907861709595,0.5155225992202759,375.0,1.1162256002426147,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,50,32,154945,6,6,0,1.0,0.0,0.0,0.5868529677391052,0.02307453751564026,0.02283588991432357,0.601405143737793,0.5730921626091003,350.0,1.9841548204421997,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,50,48,158017,6,6,0,1.0,0.0,0.0,,,,,,400.0,1.1306722164154053,2,3,11;22,101;202;303,True
burgers_operator,deeponet,med-large,50,64,161089,6,6,0,1.0,0.0,0.0,0.4929039180278778,0.03418546915054321,0.05332265641208007,0.5240228176116943,0.4542462229728699,525.0,3.3280359506607056,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,50,96,167233,6,6,0,1.0,0.0,0.0,0.4572562277317047,0.04112336784601206,0.08232535406814823,0.5255193114280701,0.4188648164272308,550.0,1.1178656816482544,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,50,128,173377,6,6,0,1.0,0.0,0.0,0.4456760287284851,0.02577091008424759,0.04304713299897087,0.4637584686279297,0.4145449697971344,675.0,3.686529755592346,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,50,192,185665,6,6,0,1.0,0.0,0.0,0.44081746041774744,0.018492743372917175,0.04773764328997736,0.4741838574409485,0.4126566052436828,575.0,1.2667908668518066,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,50,256,197953,6,6,0,1.0,0.0,0.0,0.43313837051391596,0.023983791470527593,0.04977530971822525,0.4773735404014587,0.4214921295642853,550.0,3.224569082260132,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,50,384,222529,6,6,0,1.0,0.0,0.0,0.44674557447433466,0.04062922298908239,0.06574079672401296,0.4901447594165802,0.4137724339962005,500.0,1.0243213176727295,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,50,512,247105,6,6,0,1.0,0.0,0.0,0.45277412235736847,0.02369159460067749,0.0406880946387594,0.470025360584259,0.423330694437027,650.0,1.5103729963302612,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,100,16,151873,6,6,0,1.0,0.0,0.0,0.5201586186885834,0.12759249657392507,0.14897544837122695,0.603244960308075,0.4251225292682647,1450.0,2.5872198343276978,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,100,32,154945,6,6,0,1.0,0.0,0.0,0.5464715361595154,0.004270032048225403,0.011546224883596731,0.5596963167190552,0.5415499806404114,925.0,3.5873864889144897,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,100,48,158017,6,2,4,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,,,,0.0,0.23141396045684814,2,3,11;22,101;202;303,True
burgers_operator,deeponet,med-large,100,64,161089,6,6,0,1.0,0.0,0.0,0.44539207220077515,0.013048939406871796,0.021581323203034856,0.4592558443546295,0.4340397119522095,1425.0,5.038758873939514,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,100,96,167233,6,6,0,1.0,0.0,0.0,0.4153765588998794,0.010650955140590612,0.025012831122201793,0.4254961609840393,0.3970508277416229,900.0,2.9677194356918335,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,100,128,173377,6,6,0,1.0,0.0,0.0,0.39915117621421814,0.0060439482331276495,0.03608262880793798,0.4233035445213318,0.3783596754074096,1050.0,3.719496965408325,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,100,192,185665,6,6,0,1.0,0.0,0.0,0.3896365910768509,0.005544632673263605,0.019696480421962224,0.4060609638690948,0.3850280046463012,1025.0,2.366063714027405,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,100,256,197953,6,6,0,1.0,0.0,0.0,0.39226560294628143,0.030564710497856196,0.06898075521748369,0.4489154815673828,0.3769181668758392,1125.0,4.154787659645081,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,100,384,222529,6,6,0,1.0,0.0,0.0,0.3940129429101944,0.009129643440246527,0.027232087740456042,0.4079024493694305,0.3762549161911011,950.0,2.42007577419281,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,100,512,247105,6,6,0,1.0,0.0,0.0,0.39891865849494934,0.02454559504985815,0.04294151087976146,0.4166483283042907,0.3741868138313293,1100.0,2.6238025426864624,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,150,32,154945,6,6,0,1.0,0.0,0.0,0.5390326082706451,0.006794601678848267,0.028114751637542942,0.5704736709594727,0.5251745581626892,850.0,2.0514724254608154,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,150,64,161089,6,6,0,1.0,0.0,0.0,0.4264037609100342,0.009795933961868286,0.017803465819635086,0.4355565905570984,0.4154614508152008,1600.0,2.872136950492859,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,150,128,173377,6,6,0,1.0,0.0,0.0,0.373124361038208,0.015704981982707977,0.04207823245945972,0.3824568092823028,0.341133713722229,1500.0,2.640842199325561,2,3,11;22,101;202;303,False
