task,model_name,capacity_name,dataset_size,resolution_train,resolution_eval,n_runs,n_success,median_test_rel_l2,iqr_test_rel_l2,seed_cv_test_rel_l2,worst_test_rel_l2,best_test_rel_l2,parent_convergence_rate,parent_converged,parent_median_test_rel_l2,degradation_vs_diagonal,is_r48_train
burgers_operator,deeponet,large,100,32,512,4,4,0.4351937919855118,0.004644259810447748,0.011469202232597106,0.4425047934055328,0.4306210279464721,1.0,True,0.552889496088028,0.7871261708980318,False
burgers_operator,deeponet,large,100,64,32,4,4,0.5433323681354523,0.005239412188529968,0.015506210430518945,0.545783281326294,0.5275795459747314,1.0,True,0.4564545601606369,1.1903317779194518,False
burgers_operator,deeponet,large,100,64,128,4,4,0.4085279256105423,0.011164546012878418,0.03439420797337636,0.4148745834827423,0.3837618231773376,1.0,True,0.4564545601606369,0.8950023973180855,False
burgers_operator,deeponet,large,100,64,256,4,4,0.4024686962366104,0.011532239615917206,0.03683811888247126,0.408534288406372,0.3760176301002502,1.0,True,0.4564545601606369,0.8817278462394426,False
burgers_operator,deeponet,large,100,64,512,4,4,0.40306270122528076,0.011435471475124304,0.03712564373366534,0.4088250398635864,0.3761710822582245,1.0,True,0.4564545601606369,0.8830291915222266,False
burgers_operator,deeponet,large,100,128,32,4,4,0.5428924560546875,0.0105658620595932,0.01983254866574805,0.5486708283424377,0.5247211456298828,1.0,True,0.3913862854242325,1.3871013785427715,False
burgers_operator,deeponet,large,100,128,64,4,4,0.4461309462785721,0.014221914112567846,0.03492841471429076,0.4643312990665436,0.4267429411411285,1.0,True,0.3913862854242325,1.139873733171311,False
burgers_operator,deeponet,large,100,128,256,4,4,0.38244007527828217,0.017156913876533453,0.053921127245045136,0.4082925617694855,0.3581168055534363,1.0,True,0.3913862854242325,0.9771422492838416,False
burgers_operator,deeponet,large,100,128,512,4,4,0.3819940388202667,0.01732445508241648,0.05447215135812168,0.4082246720790863,0.3575918078422546,1.0,True,0.3913862854242325,0.9760026169701238,False
burgers_operator,deeponet,large,100,256,32,4,4,0.5407355427742004,0.015771761536598206,0.019032829592125756,0.5533550977706909,0.5326634049415588,1.0,True,0.379381462931633,1.425308286271342,False
burgers_operator,deeponet,large,100,256,64,4,4,0.4465173035860061,0.01512610912322998,0.02465804011582905,0.4614809453487396,0.4377559423446655,1.0,True,0.379381462931633,1.1769613099585507,False
burgers_operator,deeponet,large,100,256,128,4,4,0.3920115232467651,0.01665322482585907,0.033225228430205075,0.4100629687309265,0.3809793591499328,1.0,True,0.379381462931633,1.0332911898687263,False
burgers_operator,deeponet,large,100,256,512,4,4,0.38227713108062744,0.017477579414844513,0.03656540160832381,0.4015999138355255,0.3700671792030334,1.0,True,0.379381462931633,1.0076326031499232,False
burgers_operator,deeponet,large,500,32,64,4,4,0.42335905134677887,0.0037269666790962774,0.009783702403508548,0.4280863106250763,0.4180839359760284,1.0,True,0.5052489936351776,0.8379216122743461,False
burgers_operator,deeponet,large,500,32,128,4,4,0.3815277367830276,0.0027171149849891663,0.010526187604539914,0.3840674459934234,0.3747424185276031,1.0,True,0.5052489936351776,0.7551281478821019,False
burgers_operator,deeponet,large,500,32,256,4,4,0.3786368817090988,0.0031826272606850226,0.009931174906208333,0.380886971950531,0.3722810745239258,1.0,True,0.5052489936351776,0.749406503484298,False
burgers_operator,deeponet,large,500,32,512,4,4,0.38096947968006134,0.0033736303448677063,0.00960412253409007,0.3830966055393219,0.3748054802417755,1.0,True,0.5052489936351776,0.7540232330579285,False
burgers_operator,deeponet,large,500,64,32,4,4,0.5046822428703308,0.004308938980102539,0.009563472114917404,0.5115043520927429,0.4999105334281921,1.0,True,0.40253618359565735,1.2537562172976677,False
burgers_operator,deeponet,large,500,64,128,4,4,0.3449117094278335,0.017393141984939575,0.036769450188999096,0.3613560199737549,0.3337332904338836,1.0,True,0.40253618359565735,0.8568464736434553,False
burgers_operator,deeponet,large,500,64,256,4,4,0.33701205253601074,0.017200469970703125,0.037058547153205876,0.3535239100456238,0.3264502286911011,1.0,True,0.40253618359565735,0.8372217610989605,False
burgers_operator,deeponet,large,500,64,512,4,4,0.33763918280601496,0.0167727991938591,0.03603589234520822,0.3538887798786163,0.3275727033615112,1.0,True,0.40253618359565735,0.8387797086712815,False
burgers_operator,deeponet,large,500,128,32,4,4,0.5078185796737671,0.007885843515396118,0.02250137831683674,0.527599573135376,0.5010207891464233,1.0,True,0.3237471878528595,1.5685652222701825,False
burgers_operator,deeponet,large,500,128,64,4,4,0.3935636878013611,0.011526860296726282,0.04809883202558191,0.4309986233711242,0.3902806341648102,1.0,True,0.3237471878528595,1.2156512938738873,False
burgers_operator,deeponet,large,500,128,256,4,4,0.3121829479932785,0.015491798520088196,0.08249537587706723,0.3640645444393158,0.3079335689544678,1.0,True,0.3237471878528595,0.9642800299323778,False
burgers_operator,deeponet,large,500,128,512,4,4,0.3118213564157486,0.015549518167972565,0.08292307533487704,0.3637309074401855,0.3071423172950744,1.0,True,0.3237471878528595,0.9631631350492809,False
burgers_operator,deeponet,large,500,256,32,4,4,0.5169096291065216,0.00811585783958435,0.009578751273393497,0.5209242105484009,0.5116241574287415,1.0,True,0.3244982212781906,1.5929505778812196,False
burgers_operator,deeponet,large,500,256,64,4,4,0.4067971110343933,0.005190074443817139,0.015126028997758523,0.4160902798175812,0.4013683497905731,1.0,True,0.3244982212781906,1.2536189241100595,False
burgers_operator,deeponet,large,500,256,128,4,4,0.3397035300731659,0.005997806787490789,0.021636696335686413,0.3515663146972656,0.3341819047927856,1.0,True,0.3244982212781906,1.0468579110698417,False
burgers_operator,deeponet,large,500,256,512,4,4,0.3266219794750213,0.006565645337104797,0.02056972104737099,0.3378629684448242,0.322535753250122,1.0,True,0.3244982212781906,1.006544745263827,False
