task,model_name,capacity_name,dataset_size,r_low,r_high,ratio
burgers_operator,fno,large,500,16,32,2.5301400213355127
burgers_operator,fno,large,500,32,64,1.1799789880070795
burgers_operator,fno,large,500,64,128,0.4586443989645948
burgers_operator,fno,large,500,96,192,0.7367889572892081
burgers_operator,fno,large,500,128,256,1.0134675332843497
burgers_operator,fno,large,500,192,384,0.7373233960584258
burgers_operator,fno,large,500,256,512,1.0373810012982296
burgers_operator,fno,large,750,32,64,1.243218718967889
burgers_operator,fno,large,750,64,128,0.481268037339415
burgers_operator,fno,large,750,128,256,1.1064035154160572
burgers_operator,fno,large,1000,16,32,2.409186728660419
burgers_operator,fno,large,1000,32,64,1.1876706648560031
burgers_operator,fno,large,1000,64,128,0.5078764498682707
burgers_operator,fno,large,1000,96,192,0.8053654671580621
burgers_operator,fno,large,1000,128,256,1.1256530202594908
burgers_operator,fno,large,1000,192,384,0.7475981092464222
burgers_operator,fno,large,1000,256,512,0.8771690814030308
burgers_operator,fno,large,2000,16,32,2.5429368511702086
burgers_operator,fno,large,2000,32,64,1.2203755832282435
burgers_operator,fno,large,2000,64,128,0.5408844573502661
burgers_operator,fno,large,2000,96,192,0.9484180206551701
burgers_operator,fno,large,2000,128,256,1.0378412011191425
burgers_operator,fno,large,2000,192,384,0.60918876670593
burgers_operator,fno,large,2000,256,512,0.8837668814614431
burgers_operator,fno,large,3000,32,64,1.049224897235388
burgers_operator,fno,large,3000,64,128,0.5812366387532292
burgers_operator,fno,large,3000,128,256,0.9953929183498571
burgers_operator,fno,large,5000,16,32,2.0330951825294203
burgers_operator,fno,large,5000,32,64,1.2299794887792288
burgers_operator,fno,large,5000,64,128,0.5931693652223762
burgers_operator,fno,large,5000,96,192,0.7739843018440951
burgers_operator,fno,large,5000,128,256,0.9998858146476645
burgers_operator,fno,large,5000,192,384,0.7738646560910727
burgers_operator,fno,large,5000,256,512,0.8138069840522061
burgers_operator,fno,med-large,50,16,32,2.1486247976970207
burgers_operator,fno,med-large,50,32,64,0.7669715686349138
burgers_operator,fno,med-large,50,64,128,0.7524277988486434
burgers_operator,fno,med-large,50,96,192,0.7908165339073233
burgers_operator,fno,med-large,50,128,256,0.9330754597778353
burgers_operator,fno,med-large,50,192,384,1.024277403347199
burgers_operator,fno,med-large,50,256,512,0.9023851906806736
burgers_operator,fno,med-large,100,16,32,2.7362875977462515
burgers_operator,fno,med-large,100,32,64,1.0818072721881857
burgers_operator,fno,med-large,100,64,128,0.5774978177998601
burgers_operator,fno,med-large,100,96,192,0.6227280140799467
burgers_operator,fno,med-large,100,128,256,0.8538274702680534
burgers_operator,fno,med-large,100,192,384,1.1263322137734022
burgers_operator,fno,med-large,100,256,512,0.9351583294439916
burgers_operator,fno,med-large,150,32,64,1.2334890150308593
burgers_operator,fno,med-large,150,64,128,0.49858912947538814
burgers_operator,fno,med-large,150,128,256,0.8724458128473146
burgers_operator,fno,med-large,200,16,32,3.1081167887284677
burgers_operator,fno,med-large,200,32,64,1.1391627971306546
burgers_operator,fno,med-large,200,64,128,0.47186459208194914
burgers_operator,fno,med-large,200,96,192,0.5019309001617421
burgers_operator,fno,med-large,200,128,256,0.9185464777882949
burgers_operator,fno,med-large,200,192,384,0.8472486502828628
burgers_operator,fno,med-large,200,256,512,0.9547548266677786
burgers_operator,fno,med-large,300,32,64,1.1249523411532825
burgers_operator,fno,med-large,300,64,128,0.6166611880833628
burgers_operator,fno,med-large,300,128,256,0.7393940502331461
burgers_operator,fno,med-large,500,16,32,2.755329655199818
burgers_operator,fno,med-large,500,32,64,1.1367363736369287
burgers_operator,fno,med-large,500,64,128,0.46830575565273874
burgers_operator,fno,med-large,500,96,192,0.7475998822469258
burgers_operator,fno,med-large,500,128,256,0.9986652526306212
burgers_operator,fno,med-large,500,192,384,0.811118572374995
burgers_operator,fno,med-large,500,256,512,0.8207952491665453
burgers_operator,fno,med-large,750,32,64,1.2275234299174111
burgers_operator,fno,med-large,750,64,128,0.4634871886085534
burgers_operator,fno,med-large,750,128,256,0.9485215941540474
burgers_operator,fno,med-large,1000,16,32,2.629159110406468
burgers_operator,fno,med-large,1000,32,64,1.1615668138745578
burgers_operator,fno,med-large,1000,64,128,0.5553150072853421
burgers_operator,fno,med-large,1000,96,192,0.7407151640420859
burgers_operator,fno,med-large,1000,128,256,0.9544890076173866
burgers_operator,fno,med-large,1000,192,384,0.7581278760853392
burgers_operator,fno,med-large,1000,256,512,0.7869409205164505
burgers_operator,fno,med-large,2000,16,32,2.3418502237383487
burgers_operator,fno,med-large,2000,32,64,1.2472483069344336
burgers_operator,fno,med-large,2000,64,128,0.6997118554324007
burgers_operator,fno,med-large,2000,96,192,0.765530997279464
burgers_operator,fno,med-large,2000,128,256,0.7669847490298483
burgers_operator,fno,med-large,2000,192,384,0.7490506300935184
burgers_operator,fno,med-large,2000,256,512,0.7623541193250375
burgers_operator,fno,med-large,3000,32,64,1.1081292477876332
burgers_operator,fno,med-large,3000,64,128,0.846109288728677
burgers_operator,fno,med-large,3000,128,256,0.7128847901055583
burgers_operator,fno,med-large,5000,16,32,2.4027104475291834
burgers_operator,fno,med-large,5000,32,64,1.2233448301216545
burgers_operator,fno,med-large,5000,64,128,1.120356191964401
burgers_operator,fno,med-large,5000,96,192,0.7547576527513103
burgers_operator,fno,med-large,5000,128,256,0.5651852755962969
burgers_operator,fno,med-large,5000,192,384,0.669733841799251
burgers_operator,fno,med-large,5000,256,512,0.7659289062849556
burgers_operator,fno,medium,50,16,32,2.3947999936900315
burgers_operator,fno,medium,50,32,64,0.7257225184841798
burgers_operator,fno,medium,50,64,128,0.7735386582831566
burgers_operator,fno,medium,50,96,192,0.7817511789478357
burgers_operator,fno,medium,50,128,256,0.9543014339291735
burgers_operator,fno,medium,50,192,384,0.9647101474620084
burgers_operator,fno,medium,50,256,512,0.7877676358678884
burgers_operator,fno,medium,100,16,32,2.4365950723291836
burgers_operator,fno,medium,100,32,64,0.9140000415460672
burgers_operator,fno,medium,100,64,128,0.6037365110193851
burgers_operator,fno,medium,100,96,192,0.6642202965167898
burgers_operator,fno,medium,100,128,256,0.8959929169529497
burgers_operator,fno,medium,100,192,384,0.8738667753441378
burgers_operator,fno,medium,100,256,512,0.8382188214973145
burgers_operator,fno,medium,150,32,64,1.0072709651346203
burgers_operator,fno,medium,150,64,128,0.5702744791316637
burgers_operator,fno,medium,150,128,256,0.9030367451052509
burgers_operator,fno,medium,200,16,32,2.9176382500129017
burgers_operator,fno,medium,200,32,64,0.9833871025845698
burgers_operator,fno,medium,200,64,128,0.5900315927777449
burgers_operator,fno,medium,200,96,192,0.5721161381569085
burgers_operator,fno,medium,200,128,256,0.9353428864528561
burgers_operator,fno,medium,200,192,384,1.0153911408807095
burgers_operator,fno,medium,200,256,512,0.8649680434131823
burgers_operator,fno,medium,300,32,64,1.0663513410235146
burgers_operator,fno,medium,300,64,128,0.49217033036191005
burgers_operator,fno,medium,300,128,256,0.9569569570860308
burgers_operator,fno,medium,500,16,32,2.7348677293714867
burgers_operator,fno,medium,500,32,64,1.085747156950666
burgers_operator,fno,medium,500,64,128,0.7636690862249618
burgers_operator,fno,medium,500,96,192,0.662974671199479
burgers_operator,fno,medium,500,128,256,0.6254939275957629
burgers_operator,fno,medium,500,192,384,0.8379615455208557
burgers_operator,fno,medium,500,256,512,0.889223390510256
burgers_operator,fno,medium,750,32,64,1.240404348697825
burgers_operator,fno,medium,750,64,128,0.8097536163815466
burgers_operator,fno,medium,750,128,256,0.5554161882722545
burgers_operator,fno,medium,1000,16,32,2.6837768238524435
burgers_operator,fno,medium,1000,32,64,1.2248001964784139
burgers_operator,fno,medium,1000,64,128,0.8867326796500796
burgers_operator,fno,medium,1000,96,192,0.7556538105127817
burgers_operator,fno,medium,1000,128,256,0.5284300112700129
burgers_operator,fno,medium,1000,192,384,0.724146938981328
burgers_operator,fno,medium,1000,256,512,0.7452703840742928
burgers_operator,fno,medium,2000,16,32,2.5200057702237206
burgers_operator,fno,medium,2000,32,64,1.2479614535656753
burgers_operator,fno,medium,2000,64,128,0.8644063695152788
burgers_operator,fno,medium,2000,96,192,0.7820818729109783
burgers_operator,fno,medium,2000,128,256,0.589674926172336
burgers_operator,fno,medium,2000,192,384,0.7061840263602964
burgers_operator,fno,medium,2000,256,512,0.9705564372917681
burgers_operator,fno,medium,3000,32,64,1.1697544542408007
burgers_operator,fno,medium,3000,64,128,1.1453734675247067
burgers_operator,fno,medium,3000,128,256,0.5150114696006316
burgers_operator,fno,medium,5000,16,32,2.65101753803662
burgers_operator,fno,medium,5000,32,64,1.07891272711333
burgers_operator,fno,medium,5000,64,128,1.1255223982214202
burgers_operator,fno,medium,5000,96,192,0.8433055934326846
burgers_operator,fno,medium,5000,128,256,0.47783921068746443
burgers_operator,fno,medium,5000,192,384,0.6468247679741234
burgers_operator,fno,medium,5000,256,512,0.9210502994133509
burgers_operator,fno,small,50,16,32,2.1233536189559037
burgers_operator,fno,small,50,32,64,0.7076818269735029
burgers_operator,fno,small,50,64,128,0.7865131202122049
burgers_operator,fno,small,50,96,192,0.857555842918798
burgers_operator,fno,small,50,128,256,0.9302159334973399
burgers_operator,fno,small,50,192,384,1.0201064274519231
burgers_operator,fno,small,50,256,512,0.9801477977153674
burgers_operator,fno,small,100,16,32,2.1488276459987836
burgers_operator,fno,small,100,32,64,0.8575187513499225
burgers_operator,fno,small,100,64,128,0.580210471200093
burgers_operator,fno,small,100,96,192,0.7624665481900905
burgers_operator,fno,small,100,128,256,1.0208355916894407
burgers_operator,fno,small,100,192,384,0.9951184513522716
burgers_operator,fno,small,100,256,512,0.9376436904352887
burgers_operator,fno,small,150,32,64,0.9788148838215628
burgers_operator,fno,small,150,64,128,0.5451600123199453
burgers_operator,fno,small,150,128,256,0.8723508979377216
burgers_operator,fno,small,200,16,32,2.677963789821096
burgers_operator,fno,small,200,32,64,1.2082741518815883
burgers_operator,fno,small,200,64,128,0.4868184897983508
burgers_operator,fno,small,200,96,192,0.5392924240060692
burgers_operator,fno,small,200,128,256,0.8166583193655401
burgers_operator,fno,small,200,192,384,0.9966074142892953
burgers_operator,fno,small,200,256,512,0.9602621451752956
burgers_operator,fno,small,300,32,64,1.072312033609588
burgers_operator,fno,small,300,64,128,0.5888407227273795
burgers_operator,fno,small,300,128,256,0.7185626092210452
burgers_operator,fno,small,500,16,32,2.8272580157410476
burgers_operator,fno,small,500,32,64,1.1038994004912008
burgers_operator,fno,small,500,64,128,0.6794562594003074
burgers_operator,fno,small,500,96,192,0.5777962210464153
burgers_operator,fno,small,500,128,256,0.6165327341254603
burgers_operator,fno,small,500,192,384,1.0206138957649438
burgers_operator,fno,small,500,256,512,0.8646538457372661
burgers_operator,fno,small,750,32,64,1.217079359246464
burgers_operator,fno,small,750,64,128,0.7148050351576195
burgers_operator,fno,small,750,128,256,0.5895888567258859
burgers_operator,fno,small,1000,16,32,2.6532555328093674
burgers_operator,fno,small,1000,32,64,1.209228673640605
burgers_operator,fno,small,1000,64,128,0.7811412138725612
burgers_operator,fno,small,1000,96,192,0.38433091702438243
burgers_operator,fno,small,1000,128,256,0.5076848984736947
burgers_operator,fno,small,1000,192,384,0.859672193752581
burgers_operator,fno,small,1000,256,512,0.894348253852572
burgers_operator,fno,small,2000,16,32,2.9961372538941875
burgers_operator,fno,small,2000,32,64,1.1763173120312749
burgers_operator,fno,small,2000,64,128,0.8186099094456607
burgers_operator,fno,small,2000,96,192,0.6594890199995435
burgers_operator,fno,small,2000,128,256,0.5020164277847557
burgers_operator,fno,small,2000,192,384,0.6663297106034983
burgers_operator,fno,small,2000,256,512,0.8839390490655925
burgers_operator,fno,small,3000,32,64,1.134208104734792
burgers_operator,fno,small,3000,64,128,0.9228049217478683
burgers_operator,fno,small,3000,128,256,0.522555432150043
burgers_operator,fno,small,5000,16,32,1.7701188914729933
burgers_operator,fno,small,5000,32,64,1.277613585176269
burgers_operator,fno,small,5000,64,128,0.9808670217114517
burgers_operator,fno,small,5000,96,192,0.38083509974892177
burgers_operator,fno,small,5000,128,256,0.47811078955895464
burgers_operator,fno,small,5000,192,384,0.7424954648392306
burgers_operator,fno,small,5000,256,512,0.9063832147262064
burgers_operator,fno,small-med,50,16,32,2.1794857001885077
burgers_operator,fno,small-med,50,32,64,0.7437788320913236
burgers_operator,fno,small-med,50,64,128,0.7999376849879041
burgers_operator,fno,small-med,50,96,192,0.8537536269811101
burgers_operator,fno,small-med,50,128,256,0.9725610612623747
burgers_operator,fno,small-med,50,192,384,1.0065275223405064
burgers_operator,fno,small-med,50,256,512,0.9361396557180952
burgers_operator,fno,small-med,100,16,32,3.203296882849682
burgers_operator,fno,small-med,100,32,64,0.7364823139543947
burgers_operator,fno,small-med,100,64,128,0.6001040912468005
burgers_operator,fno,small-med,100,96,192,0.630314859212449
burgers_operator,fno,small-med,100,128,256,0.8938390584847725
burgers_operator,fno,small-med,100,192,384,1.0008292098782172
burgers_operator,fno,small-med,100,256,512,1.0839991366274202
burgers_operator,fno,small-med,150,32,64,0.9551554678024565
burgers_operator,fno,small-med,150,64,128,0.5079946711752664
burgers_operator,fno,small-med,150,128,256,0.938168545778519
burgers_operator,fno,small-med,200,16,32,2.891547525467265
burgers_operator,fno,small-med,200,32,64,1.2306925349778763
burgers_operator,fno,small-med,200,64,128,0.4838801084828548
burgers_operator,fno,small-med,200,96,192,0.5133472566506742
burgers_operator,fno,small-med,200,128,256,0.8456246870384944
burgers_operator,fno,small-med,200,192,384,1.0577524218616852
burgers_operator,fno,small-med,200,256,512,0.9162972025257062
burgers_operator,fno,small-med,300,32,64,1.0235656013682919
burgers_operator,fno,small-med,300,64,128,0.5791552776258764
burgers_operator,fno,small-med,300,128,256,0.7560518337427881
burgers_operator,fno,small-med,500,16,32,2.8957330451583334
burgers_operator,fno,small-med,500,32,64,1.0456587309506136
burgers_operator,fno,small-med,500,64,128,0.6994762494024852
burgers_operator,fno,small-med,500,96,192,0.428395944376876
burgers_operator,fno,small-med,500,128,256,0.6633648569311749
burgers_operator,fno,small-med,500,192,384,0.8483684638693677
burgers_operator,fno,small-med,500,256,512,0.9095410030155647
burgers_operator,fno,small-med,750,32,64,1.1089765644702376
burgers_operator,fno,small-med,750,64,128,0.7466463898597674
burgers_operator,fno,small-med,750,128,256,0.5911865260510897
burgers_operator,fno,small-med,1000,16,32,3.115245525161286
burgers_operator,fno,small-med,1000,32,64,1.1566421879623023
burgers_operator,fno,small-med,1000,64,128,0.8007916970219306
burgers_operator,fno,small-med,1000,96,192,0.7019221704018621
burgers_operator,fno,small-med,1000,128,256,0.5462508377800825
burgers_operator,fno,small-med,1000,192,384,0.7390393142399314
burgers_operator,fno,small-med,1000,256,512,0.8749134589983536
burgers_operator,fno,small-med,2000,16,32,2.9609849087859406
burgers_operator,fno,small-med,2000,32,64,1.1541855424023393
burgers_operator,fno,small-med,2000,64,128,0.9127689253019909
burgers_operator,fno,small-med,2000,96,192,0.7286054313183923
burgers_operator,fno,small-med,2000,128,256,0.5022469404137632
burgers_operator,fno,small-med,2000,192,384,0.6486848567245985
burgers_operator,fno,small-med,2000,256,512,0.8784127918654955
burgers_operator,fno,small-med,3000,32,64,1.1436974302453746
burgers_operator,fno,small-med,3000,64,128,0.966889275426069
burgers_operator,fno,small-med,3000,128,256,0.4733162788252656
burgers_operator,fno,small-med,5000,16,32,2.5444751848420113
burgers_operator,fno,small-med,5000,32,64,1.2727216688931717
burgers_operator,fno,small-med,5000,64,128,0.9708525132954237
burgers_operator,fno,small-med,5000,96,192,0.8062711161681979
burgers_operator,fno,small-med,5000,128,256,0.5108470594178806
burgers_operator,fno,small-med,5000,192,384,0.665835177379407
burgers_operator,fno,small-med,5000,256,512,0.8045413466377014
burgers_operator,fno,tiny,50,16,32,1.5966577207892252
burgers_operator,fno,tiny,50,32,64,0.7813776935539245
burgers_operator,fno,tiny,50,64,128,0.7725918759329233
burgers_operator,fno,tiny,50,96,192,0.8303671673666446
burgers_operator,fno,tiny,50,128,256,0.9230369121469697
burgers_operator,fno,tiny,50,192,384,1.0350537657000125
burgers_operator,fno,tiny,50,256,512,0.8796445966091944
burgers_operator,fno,tiny,100,16,32,2.110863384073186
burgers_operator,fno,tiny,100,32,64,0.8137692704473013
burgers_operator,fno,tiny,100,64,128,0.7041378414628358
burgers_operator,fno,tiny,100,96,192,0.6765678824812553
burgers_operator,fno,tiny,100,128,256,0.8899816818932097
burgers_operator,fno,tiny,100,192,384,1.0197077435925868
burgers_operator,fno,tiny,100,256,512,0.9619073863441165
burgers_operator,fno,tiny,150,32,64,0.9894735792538364
burgers_operator,fno,tiny,150,64,128,0.5684264192924778
burgers_operator,fno,tiny,150,128,256,0.8958354386991411
burgers_operator,fno,tiny,200,16,32,2.239631147483706
burgers_operator,fno,tiny,200,32,64,1.1117259997267352
burgers_operator,fno,tiny,200,64,128,0.5175320406280433
burgers_operator,fno,tiny,200,96,192,0.5784654862849232
burgers_operator,fno,tiny,200,128,256,0.8767705422671594
burgers_operator,fno,tiny,200,192,384,1.013798333677093
burgers_operator,fno,tiny,200,256,512,0.8147384108180963
burgers_operator,fno,tiny,300,32,64,1.144306996894938
burgers_operator,fno,tiny,300,64,128,0.49538475168564444
burgers_operator,fno,tiny,300,128,256,0.7947648718779319
burgers_operator,fno,tiny,500,16,32,2.4075547837318543
burgers_operator,fno,tiny,500,32,64,1.265220607195827
burgers_operator,fno,tiny,500,64,128,0.5173201339998137
burgers_operator,fno,tiny,500,96,192,0.5128050554899849
burgers_operator,fno,tiny,500,128,256,0.6660791569189851
burgers_operator,fno,tiny,500,192,384,0.8656573512455196
burgers_operator,fno,tiny,500,256,512,0.8808932036747753
burgers_operator,fno,tiny,750,32,64,1.3630411020363413
burgers_operator,fno,tiny,750,64,128,0.4641187262314088
burgers_operator,fno,tiny,750,128,256,0.615210408549424
burgers_operator,fno,tiny,1000,16,32,2.7610298940928635
burgers_operator,fno,tiny,1000,32,64,1.404539770175417
burgers_operator,fno,tiny,1000,64,128,0.4561571658885132
burgers_operator,fno,tiny,1000,96,192,0.44069180124013685
burgers_operator,fno,tiny,1000,128,256,0.5919557527059486
burgers_operator,fno,tiny,1000,192,384,0.764359133752091
burgers_operator,fno,tiny,1000,256,512,0.9695387281584383
burgers_operator,fno,tiny,2000,16,32,2.495045108922483
burgers_operator,fno,tiny,2000,32,64,1.2880780538069132
burgers_operator,fno,tiny,2000,64,128,0.5487565904320855
burgers_operator,fno,tiny,2000,96,192,0.42528958018830293
burgers_operator,fno,tiny,2000,128,256,0.5800151872235345
burgers_operator,fno,tiny,2000,192,384,0.7973427711996083
burgers_operator,fno,tiny,2000,256,512,0.9330244152986719
burgers_operator,fno,tiny,3000,32,64,1.218081946009349
burgers_operator,fno,tiny,3000,64,128,0.5684105285031802
burgers_operator,fno,tiny,3000,128,256,0.5561858586523941
burgers_operator,fno,tiny,5000,16,32,2.7396543444122883
burgers_operator,fno,tiny,5000,32,64,1.1460975237032478
burgers_operator,fno,tiny,5000,64,128,0.5886373755738663
burgers_operator,fno,tiny,5000,96,192,0.42851193394745896
burgers_operator,fno,tiny,5000,128,256,0.5767423317100181
burgers_operator,fno,tiny,5000,192,384,0.814578364848602
burgers_operator,fno,tiny,5000,256,512,0.8860621118917885
burgers_operator,fno,xlarge,50,16,32,2.156318415825272
burgers_operator,fno,xlarge,50,32,64,0.8985819671843346
burgers_operator,fno,xlarge,50,64,128,0.6748446499679351
burgers_operator,fno,xlarge,50,96,192,0.8129046498845954
burgers_operator,fno,xlarge,50,128,256,0.9573317774666765
burgers_operator,fno,xlarge,50,192,384,1.1038482110182137
burgers_operator,fno,xlarge,50,256,512,1.0317980445022927
burgers_operator,fno,xlarge,100,16,32,2.5946740249718836
burgers_operator,fno,xlarge,100,32,64,1.2528537903780979
burgers_operator,fno,xlarge,100,64,128,0.5853757631939581
burgers_operator,fno,xlarge,100,96,192,0.6916571799619508
burgers_operator,fno,xlarge,100,128,256,0.8337441087665992
burgers_operator,fno,xlarge,100,192,384,1.0229672236735197
burgers_operator,fno,xlarge,100,256,512,1.0862690922358014
burgers_operator,fno,xlarge,150,32,64,1.2671522046383212
burgers_operator,fno,xlarge,150,64,128,0.6421613839187349
burgers_operator,fno,xlarge,150,128,256,0.7839004396489672
burgers_operator,fno,xlarge,200,16,32,2.960891378331953
burgers_operator,fno,xlarge,200,32,64,1.2786167562907114
burgers_operator,fno,xlarge,200,64,128,0.6619287076003564
burgers_operator,fno,xlarge,200,96,192,0.4670605433565475
burgers_operator,fno,xlarge,200,128,256,0.6792441950955881
burgers_operator,fno,xlarge,200,192,384,0.8942736857593042
burgers_operator,fno,xlarge,200,256,512,0.8317013821269481
burgers_operator,fno,xlarge,300,32,64,1.4205502433475965
burgers_operator,fno,xlarge,300,64,128,0.4391472042789584
burgers_operator,fno,xlarge,300,128,256,0.8847004477626108
burgers_operator,fno,xlarge,500,16,32,2.635772017157021
burgers_operator,fno,xlarge,500,32,64,1.2565039932911017
burgers_operator,fno,xlarge,500,64,128,0.47695880616309017
burgers_operator,fno,xlarge,500,96,192,0.6009590606025272
burgers_operator,fno,xlarge,500,128,256,0.86478922831693
burgers_operator,fno,xlarge,500,192,384,0.8398005160886454
burgers_operator,fno,xlarge,500,256,512,1.0647369619035962
burgers_operator,fno,xlarge,750,32,64,1.2153454655057538
burgers_operator,fno,xlarge,750,64,128,0.5215408720095923
burgers_operator,fno,xlarge,750,128,256,0.9905691267828558
burgers_operator,fno,xlarge,1000,16,32,2.0833022976315427
burgers_operator,fno,xlarge,1000,32,64,1.151608840527431
burgers_operator,fno,xlarge,1000,64,128,0.5008276727724326
burgers_operator,fno,xlarge,1000,96,192,0.7966158135225642
burgers_operator,fno,xlarge,1000,128,256,1.125403556036186
burgers_operator,fno,xlarge,1000,192,384,0.9240472555766405
burgers_operator,fno,xlarge,1000,256,512,0.8010746772276514
burgers_operator,fno,xlarge,2000,16,32,3.145442006169588
burgers_operator,fno,xlarge,2000,32,64,1.0325724767455737
burgers_operator,fno,xlarge,2000,64,128,0.6128154609873835
burgers_operator,fno,xlarge,2000,96,192,0.7768479162333599
burgers_operator,fno,xlarge,2000,128,256,1.0899458063525618
burgers_operator,fno,xlarge,2000,192,384,0.6966588178025178
burgers_operator,fno,xlarge,2000,256,512,0.9254189743977046
burgers_operator,fno,xlarge,3000,32,64,1.0980067452182232
burgers_operator,fno,xlarge,3000,64,128,0.5863117910264267
burgers_operator,fno,xlarge,3000,128,256,1.0798993365798106
burgers_operator,fno,xlarge,5000,16,32,2.179342373950548
burgers_operator,fno,xlarge,5000,32,64,1.1687965839991155
burgers_operator,fno,xlarge,5000,64,128,0.5735993498332395
burgers_operator,fno,xlarge,5000,96,192,0.8976442245089156
burgers_operator,fno,xlarge,5000,128,256,1.0224001941025902
burgers_operator,fno,xlarge,5000,192,384,0.6290550276522745
burgers_operator,fno,xlarge,5000,256,512,0.8896989210961479
burgers_operator,mlp_baseline,large,50,16,32,0.9750816657767466
burgers_operator,mlp_baseline,large,50,32,64,0.8327396795741608
burgers_operator,mlp_baseline,large,50,64,128,0.9146827546302367
burgers_operator,mlp_baseline,large,50,96,192,0.9569342966782078
burgers_operator,mlp_baseline,large,50,128,256,0.9432217437099656
burgers_operator,mlp_baseline,large,50,192,384,1.0033852487548147
burgers_operator,mlp_baseline,large,50,256,512,1.0350235306204056
burgers_operator,mlp_baseline,large,100,16,32,1.3266395368439554
burgers_operator,mlp_baseline,large,100,32,64,0.8277125829847841
burgers_operator,mlp_baseline,large,100,64,128,0.8567422547090449
burgers_operator,mlp_baseline,large,100,96,192,0.9190629113705198
burgers_operator,mlp_baseline,large,100,128,256,0.9594051506004206
burgers_operator,mlp_baseline,large,100,192,384,0.9909181125312889
burgers_operator,mlp_baseline,large,100,256,512,0.9935634336276263
burgers_operator,mlp_baseline,large,150,32,64,0.7970127447177655
burgers_operator,mlp_baseline,large,150,64,128,0.808300961191796
burgers_operator,mlp_baseline,large,150,128,256,0.9648166592306808
burgers_operator,mlp_baseline,large,200,16,32,1.7070900065888686
burgers_operator,mlp_baseline,large,200,32,64,0.7914652531530909
burgers_operator,mlp_baseline,large,200,64,128,0.8025870594024173
burgers_operator,mlp_baseline,large,200,96,192,0.8695433283781039
burgers_operator,mlp_baseline,large,200,128,256,0.9515812557025096
burgers_operator,mlp_baseline,large,200,192,384,0.9963988076874042
burgers_operator,mlp_baseline,large,200,256,512,1.0063390185524317
burgers_operator,mlp_baseline,large,300,32,64,0.8325264388412713
burgers_operator,mlp_baseline,large,300,64,128,0.7657016454702161
burgers_operator,mlp_baseline,large,300,128,256,0.9491289089865169
burgers_operator,mlp_baseline,large,500,16,32,1.851705320583139
burgers_operator,mlp_baseline,large,500,32,64,0.9017635005307657
burgers_operator,mlp_baseline,large,500,64,128,0.7561060329019516
burgers_operator,mlp_baseline,large,500,96,192,0.8307430859220092
burgers_operator,mlp_baseline,large,500,128,256,0.9366435612839273
burgers_operator,mlp_baseline,large,500,192,384,0.9929527029887395
burgers_operator,mlp_baseline,large,500,256,512,1.0005610409351189
burgers_operator,mlp_baseline,large,750,32,64,0.9661352616808999
burgers_operator,mlp_baseline,large,750,64,128,0.7417804897641028
burgers_operator,mlp_baseline,large,750,128,256,0.9250934934155642
burgers_operator,mlp_baseline,large,1000,16,32,2.0440775252413865
burgers_operator,mlp_baseline,large,1000,32,64,1.0016300141076677
burgers_operator,mlp_baseline,large,1000,64,128,0.7295269391012713
burgers_operator,mlp_baseline,large,1000,96,192,0.8137391843106649
burgers_operator,mlp_baseline,large,1000,128,256,0.9223537056818153
burgers_operator,mlp_baseline,large,1000,192,384,0.9906667500721436
burgers_operator,mlp_baseline,large,1000,256,512,1.0087529864960332
burgers_operator,mlp_baseline,large,2000,16,32,1.9371447046154473
burgers_operator,mlp_baseline,large,2000,32,64,1.0261367998082527
burgers_operator,mlp_baseline,large,2000,64,128,0.7088343987383273
burgers_operator,mlp_baseline,large,2000,96,192,0.8020394009881772
burgers_operator,mlp_baseline,large,2000,128,256,0.9127983403804543
burgers_operator,mlp_baseline,large,2000,192,384,0.9993430007653954
burgers_operator,mlp_baseline,large,2000,256,512,1.037805279876266
burgers_operator,mlp_baseline,large,3000,32,64,1.0270076300084778
burgers_operator,mlp_baseline,large,3000,64,128,0.715754452011252
burgers_operator,mlp_baseline,large,3000,128,256,0.9187134080222557
burgers_operator,mlp_baseline,large,5000,16,32,1.9957957531774497
burgers_operator,mlp_baseline,large,5000,32,64,1.079150743131974
burgers_operator,mlp_baseline,large,5000,64,128,0.7140201365466242
burgers_operator,mlp_baseline,large,5000,96,192,0.8332940346164655
burgers_operator,mlp_baseline,large,5000,128,256,0.9022788947353619
burgers_operator,mlp_baseline,large,5000,192,384,1.0097524306616674
burgers_operator,mlp_baseline,large,5000,256,512,1.0527026593316597
burgers_operator,mlp_baseline,med-large,50,16,32,1.0154947717740084
burgers_operator,mlp_baseline,med-large,50,32,64,0.8793074430123411
burgers_operator,mlp_baseline,med-large,50,64,128,0.8487880417277427
burgers_operator,mlp_baseline,med-large,50,96,192,0.9294658266242065
burgers_operator,mlp_baseline,med-large,50,128,256,0.9961992013636652
burgers_operator,mlp_baseline,med-large,50,192,384,1.0302146665657304
burgers_operator,mlp_baseline,med-large,50,256,512,1.042262684171412
burgers_operator,mlp_baseline,med-large,100,16,32,1.3467386395132135
burgers_operator,mlp_baseline,med-large,100,32,64,0.8232788706291226
burgers_operator,mlp_baseline,med-large,100,64,128,0.841920078482712
burgers_operator,mlp_baseline,med-large,100,96,192,0.9363889909465426
burgers_operator,mlp_baseline,med-large,100,128,256,0.9756870274077658
burgers_operator,mlp_baseline,med-large,100,192,384,0.9979869516748605
burgers_operator,mlp_baseline,med-large,100,256,512,0.995007282742268
